No,Code,Company Name,Listing Date,Shares,Listing Board
72,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,"9,311,800,000",Main
73,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,"6,449,463,636",Watchlist
74,AKPI,Argha Karya Prima Industry Tbk,18 Dec 1992,"612,248,000",Development
75,AKRA,AKR Corporindo Tbk.,03 Oct 1994,"20,073,474,600",Main
76,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,"720,000,000",Development
77,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,"1,316,856,472",Development
78,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,"507,665,055",Development
79,ALMI,Alumindo Light Metal Industry Tbk.,02 Jan 1997,"3,816,000,000",Development
80,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,"2,191,870,558",Main
81,AMAG,Asuransi Multi Artha Guna Tbk.,23 Dec 2005,"5,001,552,516",Development
82,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,"434,000,000",Main
83,AMIN,Ateliers Mecaniques D'Indonesie Tbk,10 Dec 2015,"1,080,000,000",Development
84,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,"41,524,501,700",Main
85,ANJT,Austindo Nusantara Jaya Tbk.,08 May 2013,"3,354,175,000",Main
86,ANTM,Aneka Tambang Tbk.,27 Nov 1997,"24,030,764,725",Main
87,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,"2,830,004,997",Main
88,APIC,Pacific Strategic Financial Tbk.,18 Dec 2002,"11,766,313,488",Development
89,APII,Arita Prima Indonesia Tbk.,29 Oct 2013,"1,075,760,000",Development
90,APLI,Asiaplast Industries Tbk.,01 May 2000,"1,362,671,400",Main
91,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,"22,699,326,779",Main
92,ARGO,Argo Pantes Tbk,07 Jan 1991,"3,174,339,029",Watchlist
93,ARII,Atlas Resources Tbk.,08 Nov 2011,"3,431,000,000",Development
94,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,"7,341,430,976",Main
95,ARTA,Arthavest Tbk.,05 Nov 2002,"446,674,175",Development
96,ARTI,Ratu Prabu Energi Tbk.,30 Apr 2003,"7,840,000,000",Watchlist
97,ARTO,Bank Jago Tbk.,12 Jan 2016,"13,717,687,500",Development
98,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,"348,386,472",Development
99,ASDM,Asuransi Dayin Mitra Tbk.,15 Dec 1989,"192,000,000",Main
100,ASGR,Astra Graphia Tbk.,15 Nov 1989,"1,348,780,500",Main
101,ASII,Astra International Tbk.,04 Apr 1990,"40,483,553,140",Main
102,ASJT,Asuransi Jasa Tania Tbk.,23 Dec 2003,"1,400,000,000",Main
103,ASMI,Asuransi Maximus Graha Persada Tbk.,16 Jan 2014,"8,958,380,460",Main
104,BAJA,Saranacentral Bajatama Tbk.,21 Dec 2011,"1,800,000,000",Development
105,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,"3,934,592,500",Main
106,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,"661,784,520",Main
107,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Watchlist
108,BAYU,Bayu Buana Tbk,30 Oct 1989,"353,220,780",Development
